2020-02-21 20:40:59,026 |       pack.rivet.run |   INFO | b'Pass pT4                  0.0        0%        0%'
2020-02-21 20:40:59,026 |       pack.rivet.run |   INFO | b'Pass Aplanarity           0.0        0%        -'
2020-02-21 20:40:59,027 |       pack.rivet.run |   INFO | b'Pass MET/m_eff(Nj)        0.0        0%        -'
2020-02-21 20:40:59,027 |       pack.rivet.run |   INFO | b'Pass m_eff(incl)          0.0        0%        -'
2020-02-21 20:40:59,027 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,027 |       pack.rivet.run |   INFO | b'5j cut-flow:'
2020-02-21 20:40:59,028 |       pack.rivet.run |   INFO | b'Count    A_cumu    A_incr'
2020-02-21 20:40:59,028 |       pack.rivet.run |   INFO | b'1000.0      100%        -'
2020-02-21 20:40:59,028 |       pack.rivet.run |   INFO | b'Pass Pre-sel+MET+pT1     67.0        7%        7%'
2020-02-21 20:40:59,028 |       pack.rivet.run |   INFO | b'Pass Njet                 0.0        0%        0%'
2020-02-21 20:40:59,028 |       pack.rivet.run |   INFO | b'Pass Dphi_min(j,MET)      0.0        0%        -'
2020-02-21 20:40:59,029 |       pack.rivet.run |   INFO | b'Pass pT2                  0.0        0%        -'
2020-02-21 20:40:59,029 |       pack.rivet.run |   INFO | b'Pass pT4                  0.0        0%        -'
2020-02-21 20:40:59,029 |       pack.rivet.run |   INFO | b'Pass Aplanarity           0.0        0%        -'
2020-02-21 20:40:59,029 |       pack.rivet.run |   INFO | b'Pass MET/m_eff(Nj)        0.0        0%        -'
2020-02-21 20:40:59,029 |       pack.rivet.run |   INFO | b'Pass m_eff(incl)          0.0        0%        -'
2020-02-21 20:40:59,030 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,030 |       pack.rivet.run |   INFO | b'6jm cut-flow:'
2020-02-21 20:40:59,030 |       pack.rivet.run |   INFO | b'Count    A_cumu    A_incr'
2020-02-21 20:40:59,030 |       pack.rivet.run |   INFO | b'1000.0      100%        -'
2020-02-21 20:40:59,031 |       pack.rivet.run |   INFO | b'Pass Pre-sel+MET+pT1     67.0        7%        7%'
2020-02-21 20:40:59,031 |       pack.rivet.run |   INFO | b'Pass Njet                 0.0        0%        0%'
2020-02-21 20:40:59,031 |       pack.rivet.run |   INFO | b'Pass Dphi_min(j,MET)      0.0        0%        -'
2020-02-21 20:40:59,031 |       pack.rivet.run |   INFO | b'Pass pT2                  0.0        0%        -'
2020-02-21 20:40:59,032 |       pack.rivet.run |   INFO | b'Pass pT4                  0.0        0%        -'
2020-02-21 20:40:59,032 |       pack.rivet.run |   INFO | b'Pass Aplanarity           0.0        0%        -'
2020-02-21 20:40:59,032 |       pack.rivet.run |   INFO | b'Pass MET/m_eff(Nj)        0.0        0%        -'
2020-02-21 20:40:59,032 |       pack.rivet.run |   INFO | b'Pass m_eff(incl)          0.0        0%        -'
2020-02-21 20:40:59,033 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,033 |       pack.rivet.run |   INFO | b'6jt cut-flow:'
2020-02-21 20:40:59,033 |       pack.rivet.run |   INFO | b'Count    A_cumu    A_incr'
2020-02-21 20:40:59,033 |       pack.rivet.run |   INFO | b'1000.0      100%        -'
2020-02-21 20:40:59,033 |       pack.rivet.run |   INFO | b'Pass Pre-sel+MET+pT1     67.0        7%        7%'
2020-02-21 20:40:59,034 |       pack.rivet.run |   INFO | b'Pass Njet                 0.0        0%        0%'
2020-02-21 20:40:59,034 |       pack.rivet.run |   INFO | b'Pass Dphi_min(j,MET)      0.0        0%        -'
2020-02-21 20:40:59,034 |       pack.rivet.run |   INFO | b'Pass pT2                  0.0        0%        -'
2020-02-21 20:40:59,034 |       pack.rivet.run |   INFO | b'Pass pT4                  0.0        0%        -'
2020-02-21 20:40:59,034 |       pack.rivet.run |   INFO | b'Pass Aplanarity           0.0        0%        -'
2020-02-21 20:40:59,035 |       pack.rivet.run |   INFO | b'Pass MET/m_eff(Nj)        0.0        0%        -'
2020-02-21 20:40:59,035 |       pack.rivet.run |   INFO | b'Pass m_eff(incl)          0.0        0%        -'
2020-02-21 20:40:59,035 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,035 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,036 |       pack.rivet.run |   INFO | b'Rivet.Analysis.Handler: INFO  Processed 1000 events'
2020-02-21 20:40:59,036 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,036 |       pack.rivet.run |   INFO | b'The MCnet usage guidelines apply to Rivet: see http://www.montecarlonet.org/GUIDELINES'
2020-02-21 20:40:59,036 |       pack.rivet.run |   INFO | b'Please acknowledge plots made with Rivet analyses, and cite arXiv:1003.0694 (http://arxiv.org/abs/1003.0694)'
2020-02-21 20:40:59,037 |       pack.rivet.run |   INFO | b'Rivet run completed at 2020-02-22 04:40:59, time elapsed = 0:00:15'
2020-02-21 20:40:59,037 |       pack.rivet.run |   INFO | b'Histograms written to /Users/vlad/Documents/EPEprojects/yadage-tests/madgraph_pythia-rivet/workdir/rivet/rivet_analysis.yoda'
2020-02-21 20:40:59,037 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,037 |       pack.rivet.run |   INFO | b''
