2020-02-21 20:39:45,245 |    pack.madgraph.run |   INFO | b'INFO: Trying coupling order WEIGHTED<=5: WEIGTHED IS 2*QED+2*DMV+QCD'
2020-02-21 20:39:45,261 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,266 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g u > xd xd~ u DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,271 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-21 20:39:45,272 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g u > xd xd~ c DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,277 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g c > xd xd~ u DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,280 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g c > xd xd~ c DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,285 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-21 20:39:45,289 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g d > xd xd~ d DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,295 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-21 20:39:45,296 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g d > xd xd~ s DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,299 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g d > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,303 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-21 20:39:45,305 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g s > xd xd~ d DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,308 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g s > xd xd~ s DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,313 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-21 20:39:45,315 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g s > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,319 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g u~ > xd xd~ u~, reuse diagrams.'
2020-02-21 20:39:45,322 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g c~ > xd xd~ c~, reuse diagrams.'
2020-02-21 20:39:45,325 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g d~ > xd xd~ d~, reuse diagrams.'
2020-02-21 20:39:45,326 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g d~ > xd xd~ b~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,331 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
